CAB,PROPINSI,KOTA/KABUPATEN,KECAMATAN,KELURAHAN
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BANJARNEGARA , KRANDEGAN 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BANJARNEGARA , KUTABANJARNEGARA (KUTA BANJARNEGARA) 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , PURWOREJA KLAMPOK (PURWOREJO KLAMPOK) , PURWAREJA (PURWOREJO) 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BANJARNEGARA , SEMARANG 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BANJARNEGARA , WANGON 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , WANADADI (WONODADI) , WWANADADI 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , KARANGKOBAR , LEKSANA 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BATUR , DIENG KULON 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BAWANG , PUCANG 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , WANADADI (WONODADI) , LINGGASARI 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , WANAYASA , WANAYASA 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , WANADADI (WONODADI) , TAPEN 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BANJARNEGARA , PARAKANCANGGAH 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BAWANG , GEMURUH 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BAWANG , MANTRIANOM 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , MADUKARA , REJASA 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , SUSUKAN , SUSUKAN 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , MADUKARA , PETAMBAKAN 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , PURWANEGARA (PURWONEGORO) , PURWONEGORO 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , PURWOREJA KLAMPOK (PURWOREJO KLAMPOK) , KALIWINASUH 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , PURWANEGARA (PURWONEGORO) , GUMIWANG 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , BATUR , KARANGTENGAH 
YOGYAKARTA, JAWA TENGAH , BANJARNEGARA , PURWOREJA KLAMPOK (PURWOREJO KLAMPOK) , KALIMANDI 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , PIYUNGAN , SRIMULYO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , BANTUL , BANTUL 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , SEWON , BANGUNHARJO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , KASIHAN , NGESTIHARJO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , BANGUNTAPAN , BANGUNTAPAN 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , IMOGIRI , IMOGIRI 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , KASIHAN , TAMANTIRTO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , SEWON , PANGGUNGHARJO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , KASIHAN , BANGUNJIWO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , IMOGIRI , WUKIRSARI 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , BANGUNTAPAN , BATURETNO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , BANGUNTAPAN , TAMANAN 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , KRETEK , PARANGTRITIS 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , SEWON , PENDOWOHARJO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , PAJANGAN , SENDANGSARI 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , KASIHAN , TIRTONIRMOLO 
YOGYAKARTA, DI YOGYAKARTA , BANTUL , PAJANGAN , GUWOSARI 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , WANGON , BANTERAN 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , AJIBARANG , AJIBARANG KULON 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , SOKARAJA , SOKARAJA TENGAH 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO UTARA , GRENDENG 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO UTARA , PURWANEGARA 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO BARAT , KEDUNGWULUH 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO BARAT , BANTARSOKA 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO TIMUR , PURWOKERTO WETAN 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO TIMUR , PURWOKERTO LOR 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO BARAT , KOBER 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , BATURRADEN (BATURADEN) , REMPOAH 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , KARANGLEWAS , PASIR KULON 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO UTARA , BOBOSAN 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , JATILAWANG , TUNJUNG (TANJUNG) 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , SOKARAJA , SOKARAJA KIDUL 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO UTARA , PABUARAN 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , RAWALO , BANJARPARAKAN 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , BATURRADEN (BATURADEN) , PURWOSARI 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , WANGON , KLAPAGADING 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , KEMBARAN , LEDUG 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , CILONGOK , PERNASIDI 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PATIKRAJA , NOTOG 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO SELATAN , KARANGKLESEM (KARANG KLESEM) 
YOGYAKARTA, JAWA TENGAH , BANYUMAS , PURWOKERTO TIMUR , ARCAWINANGUN 
